id,term, knowledge area
11187,STEALTH VIRUS,MAT
11188,STEALTHY ATTACK,CPS
11189,STEAM GOVERNOR,CPS
11190,STEERING COMMITTEE,RMG
11191,STEGANOGRAPHIC METHODS,POR
11192,STEGANOGRAPHY,POR
11193,STICKY POLICIES,POR;AAA
11194,STIDE,SO
11195,STIGMATISATION,RMG
11196,STOCHASTIC METHODS,FMS
11197,STOCK EXCHANGE,NS
11198,STORAGE,HS;DSS
11199,STORAGE   BACKUPS,SO
11200,STORAGE   CLOUD,DSS
11201,STORAGE   PRIMARY,OSV
11202,STORAGE   SECONDARY,OSV
11203,STORAGE   THREATS,DSS
11204,STORAGE   VIRTUAL,DSS
11205,STORAGE   VIRTUALIZATION,OSV
11206,STORAGE   VIRTUALIZED,DSS
11207,STORAGE   VIRTUALIZED    HOST BASED,OSV
11208,STORAGE   VIRTUALIZED   NETWORK BASED,OSV
11209,STORAGE   VIRTUALIZED   STORAGE DEVICE BASED,OSV
11210,STORAGE CONTROLLER,F
11211,STORAGE FORENSICS,F
11212,STORAGE IN MOBILE APPLICATIONS,WAM
11213,STORAGE SYSTEM,F;SO;DSS
11214,STORAGE SYSTEMS,DSS
11215,STORED COMMUNICATIONS ACT,LR
11216,STORED INJECTION,SS
11217,STORED INJECTION VULNERABILIITES,SS
11218,STORED XSS ATTACK,WAM
11219,STORED XSS ATTACKS,WAM
11220,STORING,SO
11221,STORM BOTNET,AB
11222,STPA SEC,RMG
11223,STRATEGIC,RMG
11224,STRATEGIC ALIGNMENT,RMG
11225,STRATEGIC ALIGNMENT   AS OUTCOME OF INFORMATION SECURITY GOVERNANCE,RMG
11226,STRATEGIC ALIGNMENT   AS OUTCOME OF SECURITY PROGRAMS,SO
11227,STRATEGIC ALIGNMENT   OF INCIDENT MANAGEMENT,SO
11228,STRATEGIC ALIGNMENT METRICS,RMG
11229,STRATEGIC ATTACKERS,CPS
11230,STRATEGIC METRICS,RMG
11231,STRATEGIC OBJECTIVES,RMG
11232,STRATEGIC PLANNING,RMG
11233,STRATEGIES,POR
11234,STRATEGIES TO PREPARE FOR HANDLING EVENTS,SO
11235,STRATEGY DEVELOPMENT,SO
11236,STRATEGY IMPLEMENTATION RESOURCES,SO
11237,STRATEGY RESOURCES AND CONSTRAINTS   OVERVIEW,RMG
11238,STREAM CIPHER,HS;NS;AC;C
11239,STREAM CIPHERS,AC;C
11240,STREAM BASED CIPHERS,C
11241,STREAM BASED CIPHERS   SUBSTITUTION,C
11242,STREET CRIME,RMG
11243,STRENGTH OF CONTROLS,SO
11244,STRESS TESTERS,AB
11245,STRESS TESTING,SSL
11246,STRICT CONSISTENCY,DSS
11247,STRIDE,SSL;RMG
11248,STRING LITERAL,WAM
11249,STRING MANIPULATION,SS
11250,STRONG AUTHENTICATION,AAA
11251,STRONG CONSISTENCY MODEL,DSS
11252,STRONG CONSISTENCY MODELS,DSS
11253,STRONG NAMES,AAA
11254,STRONG PUF,HS
11255,STRONG PUFS,HS
11256,STRONG TYPING,AC
11257,STRONG UNFORGEABILITY,AC
11258,STRONG UNFORGEABILITY UNDER CHOSEN MESSAGE ATTACK,AC
11259,STRUCTURAL DOMAIN,HS
11260,STRUCTURAL INTEGRITY,CPS
11261,STRUCTURAL MODELS,HF
11262,STRUCTURAL TESTING,SSL
11263,STRUCTURED   QUERY LANGUAGE  SQL ,OSV
11264,STRUCTURED   WALK THROUGH TEST,SO
11265,STRUCTURED ASSESSMENT,RMG
11266,STRUCTURED OUTPUT GENERATION VULNERABILITIES,SS
11267,STRUCTURED OUTPUT GENERATION VULNERABILITY,SS
11268,STRUCTURED OUTPUT GENERATIONS MITIGATIONS,SS
11269,STRUCTURED P2P,DSS
11270,STRUCTURED P2P PROTOCOLS,DSS
11271,STRUCTURED QUERY LANGUAGE  SQL ,OSV
11272,STRUCTURED THREAD INFORMATION EXCHANGE,SO
11273,STRUCTURED TOPOLOGIES,DSS
11274,STRUCTURED WALK THROUGH,SO
11275,STRUCTURED WALKTHROUGH TEST,SO
11276,STRUCTURED WALKTHROUGH TEST   RECOVERY PLAN,SO
11277,STRUCTURED WHAT IF TECHNIQUE  SWIFT ,RMG
11278,STUXNET,AB;LR;CPS;RMG
11279,SUB NETWORK ZONE ISOLATION,CPS
11280,SUB STATION,CPS
11281,SUBDOMAIN,WAM;AAA;NS
11282,SUBJECT,AAA
11283,SUBJECT MATTER AND REGULATORY FOCUS,LR
11284,SUBJECT BASED,AAA
11285,SUBJECTIVE,SS
11286,SUBJECTS,AAA
11287,SUBJECTS   ABAC,AAA
11288,SUBJECTS   APPLICATIONS,AAA
11289,SUBJECTS   AUTHORIZED USERS,AAA
11290,SUBJECTS   BELL LAPADULA MODEL,AAA
11291,SUBJECTS   NETWORKS,NS
11292,SUBJECTS   OBJECTS COMPARISON,AAA
11293,SUBJECTS   PRIVILEGE ATTRIBUTES,OSV
11294,SUBJECTS   PROCESSES,OSV
11295,SUBJECTS   REQUIREMENTS,OSV
11296,SUBJECTS   SENSITIVITIES,OSV
11297,SUBJECTS   SYSTEMS,OSV
11298,SUBJECTS   UNAUTHORIZED USERS,SO
11299,SUBJECTS AND OBJECTS,AAA
11300,SUBSCRIBER IDENTITY MODULES,PLS
11301,SUBSCRIPTION,F
11302,SUBSTANTIVE LAW,LR
11303,SUBSTITUTE BYTES,C
11304,SUBSTITUTION,C
11305,SUBSTITUTION CIPHER,C
11306,SUBSTITUTION ENCRYPTION,C
11307,SUBSTITUTION PERMUTATION NETWORK,C
11308,SUCKERS LIST,AB
11309,SUI GENERIS RIGHT,LR
11310,SUI GENERIS STANDARD,LR
11311,SUPER P2P MODEL,DSS
11312,SUPERCOMPUTER,FM
11313,SUPERDISTRIBUTION,AAA
11314,SUPERUSER,WAM
11315,SUPERVISED LEARNING,SO
11316,SUPERVISOR,OSV
11317,SUPERVISOR MODE ACCESS PROTECTION,OSV
11318,SUPERVISOR MODE EXECUTION PROTECTION,OSV
11319,SUPERVISORY AUTHORITY,LR
11320,SUPERVISORY CONTROL,CPS
11321,SUPERVISORY CONTROL AND DATA ACQUISITION  SCADA ,CPS
11322,SUPERVISORY CONTROL NETWORK,CPS
11323,SUPERVISORY DEVICE,CPS
11324,SUPPLEMENTAL CONTROL TECHNOLOGIES,SO;WAM;AAA;NS
11325,SUPPLEMENTING SECURITY CONTROL BASELINES,RMG
11326,SUPPLIER,RMG
11327,SUPPLIES FOR INCIDENT RESPONSE,SO
11328,SUPPLY CHAIN,INTRO;CPS;LR;SSL;RMG
11329,SUPPLY CHAIN ATTACK,AB;LR
11330,SUPPLY CHAIN OPERATIONS REFERENCE,RMG
11331,SUPPLY CHAIN OPERATIONS REFERENCE  SCOR ,RMG
11332,SUPPLY CHAIN RISK MANAGEMENT,RMG
11333,SUPPLY CHAIN RISKS,RMG
11334,SUPPORT INTERNETWORK TRUST ARCHITECTURES,NS
11335,SUPPORT THE INCIDENT LIFECYCLE,SO
11336,SUPPORT VECTOR MACHINE,SO
11337,SUPPORT VECTOR MACHINES,SO
11338,SUPPORTED GOALS,RMG
11339,SUPPORTING EVIDENCE,F;LR
11340,SUPPRESSION,POR
11341,SUPREME COURT,F;LR
11342,SURGEON,LR
11343,SURICATA IDS,SO
11344,SURVEILLANCE,CPS;AC;AB;LR;POR
11345,SURVEILLANCE DATA AND THE CLOUD,SO
11346,SURVEY,RMG
11347,SURVIVABILITY THROUGH REPLICATION,DSS
11348,SUSPECT,F
11349,SUSPICIOUS SERVICE,F
11350,SUSTAINABILITY,HF;RMG
11351,SVA,FM
11352,SVCS  SWITCHED VIRTUAL CIRCUITS ,NS
11353,SVG,SS
11354,SWAM  SOFTWARE INVENTORY MANAGEMENT ,SSL
11355,SWEBOK,INTRO
11356,SWGDE  SCIENTIFIC WORKING GROUP ON DIGITAL EVIDENCE ,F
11357,SWIFT,HF;WAM;AB;LR
11358,SWIFT CREDENTIAL,AB
11359,SWIPE CARD,HS
11360,SWIPE PATTERN,WAM
11361,SWISS CHEESE MODEL,HF;INTRO
11362,SWISS CHEESE MODEL,HF;INTRO
11363,SWITCH POISONING ATTACK,NS
11364,SWITCHED NETWORK,NS
11365,SWITCHED VIRTUAL CIRCUITS,NS
11366,SWITCHED VIRTUAL CIRCUITS  SVCS ,NS
11367,SWITCHES,NS
11368,SYBIL ATTACKS,NS;DSS
11369,SYMBOL SPACE,MAT
11370,SYMBOLIC ANALYSIS,INTRO
11371,SYMBOLIC EXECUTION,FM;MAT
11372,SYMBOLIC METHODS,FMS
11373,SYMBOLIC MODEL,AC
11374,SYMBOLIC MODELLING,INTRO
11375,SYMMETRIC   ALGORITHMS,C
11376,SYMMETRIC   ALGORITHMS    ADVANTAGES AND DISADVANTAGES,C
11377,SYMMETRIC   CRYPTOGRAPHY,C
11378,SYMMETRIC ALGORITHMS,C
11379,SYMMETRIC BLOCK AND STREAM CIPHERS,C
11380,SYMMETRIC CIPHERS,C
11381,SYMMETRIC CRYPTOGRAPHY,C;FM;CPS;NS;DSS
11382,SYMMETRIC CRYPTOGRAPHY   AES  ADVANCED ENCRYPTION STANDARD    CCMP,C
11383,SYMMETRIC CRYPTOGRAPHY   AES  ADVANCED ENCRYPTION STANDARD    RIJNDAEL,C
11384,SYMMETRIC CRYPTOGRAPHY   BLOWFISH,C
11385,SYMMETRIC CRYPTOGRAPHY   CAST,C
11386,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    3DES,C
11387,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    ADVANTAGES,C
11388,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    BLOCK CIPHER MODES,C
11389,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    DISADVANTAGES,C
11390,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    DOUBLE DES,C
11391,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    MEET IN THE MIDDLE,C
11392,SYMMETRIC CRYPTOGRAPHY   DES  DATA ENCRYPTION STANDARD    STREAM MODES,C
11393,SYMMETRIC CRYPTOGRAPHY   IDEA  INTERNATIONAL DATA ENCRYPTION ALGORITHM ,C
11394,SYMMETRIC CRYPTOGRAPHY   RC4,C
11395,SYMMETRIC CRYPTOGRAPHY   RCS,C
11396,SYMMETRIC CRYPTOGRAPHY   SAFER  SECURE AND FAST ENCRYPTION ROUTINE ,C
11397,SYMMETRIC CRYPTOGRAPHY   TWOFISH,C
11398,SYMMETRIC ENCRYPTION,FM;AC;C;POR;AAA
11399,SYMMETRIC ENCRYPTION AND AUTHENTICATION,C
11400,SYMMETRIC KEY ENCRYPTION,C
11401,SYMMETRIC MODE MULTIPROCESSING,C
11402,SYMMETRIC PRIMITIVES,C
11403,SYMMETRIC RBAC,AAA
11404,SYMMETRIC VS. ASYMMETRIC ENCRYPTION,C
11405,SYMMETRY OF INTERFACES,DSS
11406,SYN,NS
11407,SYN COOKIE,SO
11408,SYN COOKIES,NS
11409,SYN FLOODING,NS
11410,SYN FLOODING DDOS ATTACK,NS
11411,SYN MESSAGE,NS
11412,SYN SCANNING,NS
11413,SYNACK MESSAGE,NS
11414,SYNCHRONISATION,AC;PLS;DSS
11415,SYNCHRONOUS,DSS;C
11416,SYNCHRONOUS   DYNAMIC RANDOM ACCESS MEMORY  SDRAM ,OSV
11417,SYNCHRONOUS   TOKEN DEVICE,AAA
11418,SYNCHRONOUS DYNAMIC PASSWORD TOKENS,AAA
11419,SYNCHRONOUS ENCRYPTION,C
11420,SYNCHRONOUS TOKENS,AAA
11421,SYNOPSYS,SSL
11422,SYNTACTIC MATCHING,F
11423,SYNTACTIC STRUCTURE,SS
11424,SYNTAX,WAM;SS
11425,SYNTAX TREE,FM
11426,SYNTHETIC PROCESSES,F
11427,SYNTHETIC TRAFFIC,SO
11428,SYNTHETIC TRANSACTIONS,WAM
11429,SYRIAN ELECTRONIC ARMY,AB
11430,SYSLOG,SO
11431,SYSTEM   COMPONENTS,SSL
11432,SYSTEM   DEVELOPMENT LIFE CYCLE  SDLC ,SSL
11433,SYSTEM   EVENTS,OSV
11434,SYSTEM   LIFE CYCLE  SLC ,INTRO;SSL
11435,SYSTEM ACCESS,OSV
11436,SYSTEM ACCOUNT ACCESS REVIEW,AAA
11437,SYSTEM ADMINISTRATOR MANAGER   ROLE OF IN CERTIFICATION TESTING,SO
11438,SYSTEM ADMINISTRATORS,FM;AAA;OSV
11439,SYSTEM AND KERNEL LOGS,SO
11440,SYSTEM APPLICATIONS,WAM
11441,SYSTEM AUTHORIZATION,SSL
11442,SYSTEM AUTHORIZATION   ACTIONS FOLLOWING ACCREDITATION,SO;RMG
11443,SYSTEM AUTHORIZATION   ASSESSMENT FOCUS,SO
11444,SYSTEM AUTHORIZATION   AUTHORITY,SO
11445,SYSTEM AUTHORIZATION   AWARENESS TRAINING AND EDUCATION,HF
11446,SYSTEM AUTHORIZATION   AWARENESS TRAINING AND EDUCATION   CASE STUDY,HF
11447,SYSTEM AUTHORIZATION   BENEFITS OF,SO;RMG
11448,SYSTEM AUTHORIZATION   DECISION MAKING,SO
11449,SYSTEM AUTHORIZATION   DEFINING,SO;RMG
11450,SYSTEM AUTHORIZATION   DESCRIPTION OF,RMG
11451,SYSTEM AUTHORIZATION   GUIDANCE DEVELOPMENT LIFE CYCLE,SO
11452,SYSTEM AUTHORIZATION   GUIDELINES,RMG
11453,SYSTEM AUTHORIZATION   INTEGRATION OF INTO THE SDLC,SSL
11454,SYSTEM AUTHORIZATION   INTERCONNECTED SYSTEMS AND,AAA
11455,SYSTEM AUTHORIZATION   INTERRELATIONSHIPS OF PROCESSES,RMG
11456,SYSTEM AUTHORIZATION   LEGAL AND REGULATORY FRAMEWORK FOR,LR
11457,SYSTEM AUTHORIZATION   LEGAL AND REGULATORY FRAMEWORK FOR   LIFE CYCLE,LR
11458,SYSTEM AUTHORIZATION   LEVEL OF EFFORT AND CERTIFICATION TESTING,SO
11459,SYSTEM AUTHORIZATION   OBSERVATIONS,SO;RMG
11460,SYSTEM AUTHORIZATION   PROGRAM INTEGRATION,RMG
11461,SYSTEM AUTHORIZATION   PROGRAM MANAGER  SEE PROGRAM MANAGER  PROGRAM SCOPE,SO
11462,SYSTEM AUTHORIZATION   REASONS FOR FAILURE,SO
11463,SYSTEM AUTHORIZATION   REMEDIATION PLANNING,SO
11464,SYSTEM AUTHORIZATION   RESISTANCE TO,HF
11465,SYSTEM AUTHORIZATION   RISK ASSESSMENT IN,RMG
11466,SYSTEM AUTHORIZATION   SAMPLE POLICY,SO
11467,SYSTEM AUTHORIZATION   SECURITY CONTROLS SELECTION,SO
11468,SYSTEM AUTHORIZATION   SECURITY PLANS,SO
11469,SYSTEM AUTHORIZATION   SECURITY PROCEDURES IN,SO
11470,SYSTEM AUTHORIZATION   SYSTEM LEVEL SECURITY USING,SO
11471,SYSTEM AUTHORIZATION   SYSTEM LEVEL SECURITY USING   TRUST RELATIONSHIPS,SO
11472,SYSTEM AUTHORIZATION   TIMING OF,SO
11473,SYSTEM BOUNDARIES   GUIDANCE ON THE IMPACT OF TECHNOLOGICAL CHANGES ON,SSL
11474,SYSTEM CALL,F;SO;MAT;OSV
11475,SYSTEM CHARACTERIZATION,RMG
11476,SYSTEM CONSOLE,AAA
11477,SYSTEM DESIGN,FMS
11478,SYSTEM DESIGNER,INTRO;AC;LR;POR;PLS
11479,SYSTEM DEVELOPMENT,SSL
11480,SYSTEM DEVELOPMENT LIFE CYCLE  SDLC ,SSL
11481,SYSTEM DEVELOPMENT LIFE CYCLE PROCESSES,RMG
11482,SYSTEM EXITS,SO
11483,SYSTEM HEAP,F;FM;SS
11484,SYSTEM IMAGE AND SNAPSHOT MANAGEMENT,OSV
11485,SYSTEM INTEGRATOR,SO
11486,SYSTEM INVENTORY PROCESS   COMBINING SYSTEMS,SO
11487,SYSTEM INVENTORY PROCESS   INFORMATION COLLECTION,SO
11488,SYSTEM INVENTORY PROCESS   SMALL SYSTEMS,SO
11489,SYSTEM INVENTORY PROCESS   TOOLS,SO
11490,SYSTEM INVENTORY PROCESS   VALIDATION,SO
11491,SYSTEM LIFECYCLE,INTRO;SSL
11492,SYSTEM LOG,F;SO
11493,SYSTEM MANAGEMENT,SO
11494,SYSTEM OWNER   CRITICALITY IN THE VIEW OF,SO;RMG
11495,SYSTEM OWNER   DATA SENSITIVITY ASSESSMENT RESPONSIBILITY OF,SO
11496,SYSTEM OWNER   RESPONSIBILITIES OF,SO;RMG
11497,SYSTEM OWNER   RESPONSIBILITIES OF   RESPONSIBILITY OF FOR INTERCONNECTIVITY AGREEMENTS,SO
11498,SYSTEM OWNER   RESPONSIBILITY FOR CONFIGURATION MANAGEMENT CONFIGURATION CONTROL,SO
11499,SYSTEM OWNER   RESPONSIBILITY OF FOR RISK REMEDIATION PLAN,SO
11500,SYSTEM OWNER   RESPONSIBILITY OF FOR SECURITY PROCEDURES,SO
11501,SYSTEM OWNER   SECURITY PLANNING AND,SO
11502,SYSTEM OWNERS,RMG
11503,SYSTEM RESOURCES,AAA
11504,SYSTEM SECURITY PLANS,SO
11505,SYSTEM SENSITIVITY,SO
11506,SYSTEM SENSITIVITY   SECURITY CONTROLS ACCORDING TO,SO
11507,SYSTEM SENSITIVITY   SECURITY CONTROLS ACCORDING TO   EM SPECIFIC CONTROLS,SO
11508,SYSTEM SERVICE,WAM
11509,SYSTEM STACK,F;FM;MAT;SS
11510,SYSTEM TESTING,SSL
11511,SYSTEM DRIVEN RISK MANAGEMENT,RMG
11512,SYSTEM LEVEL FAILURE,F;RMG
11513,SYSTEM LEVEL SECURITY,SO
11514,SYSTEM ON CHIP,HS;CPS;OSV
11515,SYSTEMS,HS;AAA;OSV
11516,SYSTEMS   ACCESS CONTROL AND,OSV
11517,SYSTEMS   ASSURANCE,SO
11518,SYSTEMS   INTEGRITY,SO
11519,SYSTEMS ADMINISTRATION,SO
11520,SYSTEMS CONTROL AUDIT REVIEW FILE  SCARF ,RMG
11521,SYSTEMS CONTROL DESIGN AND IMPLEMENTATION,SSL
11522,SYSTEMS COORDINATION STYLES,DSS
11523,SYSTEMS LIFECYCLE,INTRO;SSL
11524,SYSTEMS NETWORK ARCHITECTURE  SNA ,NS
11525,SYSTEMS PROGRAMMING,OSV
11526,SYSTEMS SECURITY,INTRO
11527,SYSTEMS THINKING,RMG
11528,SYSTEMS OF SYSTEMS,HF
11529,SYSTRUST,RMG
11530,T CLOSENESS,POR
11531,TAAS  INFORMATION AS A SERVICE ,DSS
11532,TABLET,WAM
11533,TABLETOP CARD GAMES,HF
11534,TABNABBING ATTACK METHOD,WAM;MAT
11535,TACHOMETER,CPS
11536,TACTICAL METRICS,SO
11537,TACTICAL PLANNING,SO
11538,TAG COLLISION  RFID ,HS
11539,TAG GENERATION,C
11540,TAGGING PROTOCOL,NS
11541,TAILGATING,RMG
11542,TAILORING,SO
11543,TAINT ANALYSIS,DSS;MAT;FM;SS
11544,TAINT SOURCE,SS
11545,TAINTING,SO
11546,TAKE CONTROL OF THE INCIDENT AND THE SCENE,SO
11547,TAKE FIVE,HF
11548,TAKE OWNERSHIP PERMISSION,OSV
11549,TAKE DOWN PROCEDURES,LR
11550,TAKEDOWN REQUEST,AB
11551,TAKEDOWN RESILIENT ARCHITECTURES,AB
11552,TALEA,DSS
11553,TALLINN MANUAL,CPS
11554,TALLINN MANUAL 2.0,LR
11555,TAMARIN,AAA;FM;INTRO
11556,TAMPER DETECTION,C
11557,TAMPER EVIDENCE,HS
11558,TAMPER RESISTANCE,PLS;DSS;AAA;HS
11559,TAMPER PROOF,WAM;F;SSL
11560,TAMPERING,NS;SSL;WAM;DSS;AC;F;RMG;INTRO
11561,TANGIBLE UNCERTAINTY,RMG
11562,TANGLER,POR
11563,TANGO PROGRAMMER,LR
11564,TAPESTRY,DSS
11565,TARGET   IDENTIFICATION,AB
11566,TARGET   OF EVALUATION  TOE ,SO
11567,TARGET ORGANISATION,MAT
11568,TARGETED ATTACK,MAT;CPS
11569,TARIFF,LR
11570,TASK SCHEDULING,DSS
11571,TASKS,RMG
11572,TASKS   MEASURING PROGRAM EFFECTIVENESS,RMG
11573,TAX LAW,LR
11574,TAXABLE PRESENCE,LR
11575,TAXONOMY,SS;CPS;MAT;SO;LR;AAA;RMG;AB
11576,TCB  TRUSTED COMPUTING BASE ,OSV
11577,TCO  TOTAL COST OF OWNERSHIP ,RMG
11578,TCP,NS;MAT;SO;CPS
11579,TCP  TRANSMISSION CONTROL PROTOCOL ,NS
11580,TCP  TRANSMISSION CONTROL PROTOCOL    DYNAMIC PORTS,NS
11581,TCP  TRANSMISSION CONTROL PROTOCOL    PRIVATE PORTS,NS
11582,TCP  TRANSMISSION CONTROL PROTOCOL    REGISTERED PORTS,NS
11583,TCP  TRANSMISSION CONTROL PROTOCOL    WELL KNOWN PORTS,NS
11584,TCP SECURITY,NS
11585,TCP SEQUENCE NUMBER,NS
11586,TCP SEQUENCE NUMBER ATTACKS,NS
11587,TCP IP,WAM;NS;SO;LR
11588,TCP IP MODEL,NS
11589,TCP IP STACK,NS
11590,TCPDUMP,SO
11591,TCSEC  TRUSTED COMPUTER SYSTEM EVALUATION CRITERIA ,SSL
11592,TDSS TDL4 BOTNET,MAT
11593,TECHNICAL ASPECTS,AAA
11594,TECHNICAL AUDIT,AAA
11595,TECHNICAL CHALLENGES,F
11596,TECHNICAL COMPONENTS,SO
11597,TECHNICAL COMPONENTS FOR INFORMATION SECURITY FRAMEWORK,SO
11598,TECHNICAL CONTROLS,AAA;SSL
11599,TECHNICAL CONTROLS   ANALOG,PLS
11600,TECHNICAL CONTROLS   ATTACKS AND,PLS
11601,TECHNICAL CONTROLS   AUDIT TRAILS,AAA
11602,TECHNICAL CONTROLS   AUTHENTICATION,AAA
11603,TECHNICAL CONTROLS   CELLULAR,PLS
11604,TECHNICAL CONTROLS   CONVERGED,NS
11605,TECHNICAL CONTROLS   CONVERGED   FCOE,NS
11606,TECHNICAL CONTROLS   CONVERGED   ISCSI,CPS
11607,TECHNICAL CONTROLS   CONVERGED   MPLS,NS
11608,TECHNICAL CONTROLS   DIGITAL,NS
11609,TECHNICAL CONTROLS   IDENTIFICATION,AAA
11610,TECHNICAL CONTROLS   LOGICAL,AAA
11611,TECHNICAL CONTROLS   PBX  PRIVATE BRANCH EXCHANGE ,PLS
11612,TECHNICAL CONTROLS   POTS  PLAIN OLD TELEPHONE SERVICE ,PLS
11613,TECHNICAL CONTROLS   PUBLIC ACCESS,AAA
11614,TECHNICAL CONTROLS   VOIP  VOICE OVER INTERNET PROTOCOL ,WAM
11615,TECHNICAL CONTROLS   VOIP  VOICE OVER INTERNET PROTOCOL    CODECS,WAM
11616,TECHNICAL CONTROLS   VOIP  VOICE OVER INTERNET PROTOCOL    JITTER,WAM
11617,TECHNICAL CONTROLS   VOIP  VOICE OVER INTERNET PROTOCOL    PACKET LOSS,WAM
11618,TECHNICAL CONTROLS   VOIP  VOICE OVER INTERNET PROTOCOL    SEQUENCE ERRORS,WAM
11619,TECHNICAL CONTROLS   VOIP  VOICE OVER INTERNET PROTOCOL    SIP,NS
11620,TECHNICAL CONTROLS CERTIFICATION TESTING OF,SO
11621,TECHNICAL GUIDELINE NCSC TG 029,RMG
11622,TECHNICAL SECURITY ARCHITECTURE,SO
11623,TECHNICAL SECURITY MANAGEMENT,SO
11624,TECHNICAL SUPPORT,SO
11625,TECHNICAL THREATS,SO
11626,TECHNIQUES AND PROCEDURE,F
11627,TECHNIQUES AND PROCEDURES,F
11628,TECHNOCRATIC,RMG
11629,TECHNOCRATIC POLICY,RMG
11630,TECHNOLOGICAL CONTENT FILTERING,LR
11631,TECHNOLOGIES,SO
11632,TECHNOLOGY,RMG
11633,TECHNOLOGY   FOR INCIDENT MANAGEMENT,SO
11634,TECHNOLOGY   FOR INFORMATION RISK MANAGEMENT,RMG
11635,TECHNOLOGY   FOR SECURITY PROGRAMS,SO
11636,TECHNOLOGY   IN BUSINESS MODEL FOR INFORMATION SECURITY,RMG
11637,TECHNOLOGY RESOURCES,SO
11638,TELECOMMUNICATIONS,AC;AAA;F;SO;LR;INTRO
11639,TELECOMMUTING,SO
11640,TELEGRAM,AC
11641,TELEMATIC CONTROL UNIT,CPS
11642,TELEMETRY,AC;F;SSL
11643,TELEPHONE,LR
11644,TELESCOPE,WAM
11645,TELL STORY,F
11646,TELNET,NS
11647,TEMPERATURE,HF
11648,TEMPEST,PLS;HS
11649,TEMPLATE ATTACK,HS
11650,TEMPLATE ATTACKS,HS
11651,TEMPORAL CHARACTERISTICS,MAT
11652,TEMPORAL ISOLATION,AAA
11653,TEMPORAL KEY INTEGRITY PROTOCOL,NS
11654,TEMPORAL KEY INTEGRITY PROTOCOL  TKIP ,NS
11655,TEMPORAL LOGIC,FM
11656,TEMPORAL MAC,NS
11657,TEMPORAL MEMORY ERRORS,OSV;SS
11658,TEMPORAL METRIC,SO
11659,TEMPORAL SEPARATION,FM
11660,TEMPORAL VULNERABILITIES,SS
11661,TEMPORARY FILES,F;SS
11662,TERMINATE THE ACTIVITY,RMG
11663,TERMINATION,DSS;HF
11664,TERMS,HF
11665,TERMS AND CONDITIONS,LR;INTRO
11666,TERMS OF SERVICE,AB
11667,TERMS OF USE,AAA
11668,TERRESTRIAL POSITIONING SYSTEM,PLS
11669,TERRITORIAL LOCATION OF THE RIGHT TO DEMAND REPAYMENT OF BANK DEPOSITS,LR
11670,TERRITORIAL SCOPE,LR
11671,TERRITORIAL SOVEREIGNTY,LR
11672,TERRITORIAL WATERS,LR
11673,TERRORISM,AC;CPS;PLS;LR;INTRO
11674,TERRORIST ATTACK,RMG
11675,TERRORIST FRAUD,PLS
11676,TERRORISTS AND ACTIVISTS,CPS
11677,TESLA,PLS
11678,TEST,RMG
11679,TEST   PLAN REVIEW,SO
11680,TEST   STRATEGIES,SO
11681,TEST AND FIX,FM
11682,TEST CASE,MAT;SSL;SS
11683,TEST COVERAGE ANALYSIS,SS
11684,TEST DATA,SSL
11685,TEST DISASTER RECOVERY PLANS,RMG
11686,TEST DRIVEN DEVELOPMENT  TDD ,SSL
11687,TEST PLAN DEVELOPMENT,SSL
11688,TEST PROGRAMS,SSL
11689,TEST RESULTS,RMG
11690,TEST TYPES,SSL
11691,TEST VECTOR,FM
11692,TESTABLE THEORIES,F
11693,TESTAMENT,LR
11694,TESTBED,CPS
11695,TESTIMONY,F;LR
11696,TESTING,SSL
11697,TESTING   APPLICATION SECURITY,WAM
11698,TESTING   AUTOMATED,SSL
11699,TESTING   BLACK BOX,SSL
11700,TESTING   CHECKLIST TEST,SO
11701,TESTING   DENIAL OF SERVICE,NS
11702,TESTING   DYNAMIC,SSL
11703,TESTING   FULL INTERRUPTION TESTING,SO
11704,TESTING   FULL INTERRUPTION,SO
11705,TESTING   INCIDENT RESPONSE,SO
11706,TESTING   INTERFACE,SS
11707,TESTING   MANUAL,SSL
11708,TESTING   MISUSE CASE,SS
11709,TESTING   NEGATIVE,SS
11710,TESTING   NEGATIVE    SCENARIOS,SS
11711,TESTING   OF CONTROLS,SO
11712,TESTING   PARALLEL TESTING,SO
11713,TESTING   PATCH,SO
11714,TESTING   PBX AND IP TELEPHONY,PLS
11715,TESTING   PENETRATION,SO
11716,TESTING   RECOVERY PLAN,SO
11717,TESTING   SIMULATION TEST,SO
11718,TESTING   STATIC,SSL
11719,TESTING   STRUCTURED WALKTHROUGH TEST,SO
11720,TESTING   WHITE BOX,SSL
11721,TESTING   WIRELESS NETWORK,NS
11722,TESTING A PROPRIETARY CRYPTOGRAPHIC ALGORITHM,LR
11723,TESTING AND DRILLS,RMG
11724,TESTING AND VALIDATING INTRUSION DETECTION SYSTEM,SO
